city,location,time,weather,crime_type,cctv,police,traffic,speed,temp,rainfall,accidents,complaints,severity
Chennai,Guindy,Evening,foggy,Vandalism,8,4,3,59,36,281,7,6,5.82
Chennai,Guindy,Midnight,rainy,Eve Teasing,7,2,1,78,33,220,8,2,7.18
Ahmedabad,Chandkheda,Midnight,sunny,Vandalism,7,4,3,78,36,226,8,7,7.12
Chennai,Velachery,Morning,rainy,Carjacking,6,3,8,72,30,143,7,3,6.5
Ahmedabad,Navrangpura,Morning,sunny,Burglary,1,4,8,16,32,223,5,9,7.39
Chennai,Chrompet,Morning,cloudy,Robbery,0,4,6,58,24,51,5,8,6.65
Kolkata,Barasat,Midnight,foggy,Assault,1,1,7,68,43,80,8,6,10.0
Pune,Pimpri,Midnight,cloudy,Vandalism,5,3,2,51,15,148,1,2,5.2
Ahmedabad,Satellite,Midnight,cloudy,Fraud,1,0,9,41,22,26,2,4,7.53
Bangalore,Koramangala,Evening,sunny,Mobile Theft,9,4,3,78,17,231,5,8,5.68
Hyderabad,Madhapur,Midnight,rainy,Burglary,3,3,2,45,44,110,7,8,8.34
Delhi,Rohini,Evening,stormy,Pickpocketing,9,0,5,31,30,78,6,7,7.76
Chennai,Mylapore,Morning,sunny,Pickpocketing,2,3,1,46,38,278,7,7,5.67
Mumbai,Andheri,Morning,stormy,Assault,5,1,5,72,17,126,4,8,7.35
Pune,Shivajinagar,Morning,cloudy,Fraud,7,0,4,33,16,280,8,4,6.05
Chennai,Porur,Afternoon,stormy,Theft,5,0,6,40,26,181,5,8,8.29
Mumbai,Dadar,Afternoon,rainy,Robbery,1,4,5,61,22,118,9,5,6.61
Hyderabad,LB Nagar,Night,sunny,Eve Teasing,4,2,9,16,33,265,1,5,7.23
Hyderabad,Dilsukhnagar,Night,rainy,Cyber Crime,5,0,5,49,38,177,5,9,8.02
Hyderabad,Madhapur,Night,rainy,Chain Snatching,8,0,8,24,32,200,3,5,8.42
Mumbai,Dadar,Afternoon,sunny,Chain Snatching,5,1,2,49,34,69,4,6,5.25
Chennai,Tambaram,Afternoon,rainy,Robbery,9,1,3,27,39,157,4,8,6.92
Hyderabad,Secunderabad,Night,foggy,Cyber Crime,4,1,3,66,29,97,0,2,5.28
Kolkata,New Town,Night,foggy,Burglary,0,4,3,38,31,204,9,5,7.31
Ahmedabad,Naranpura,Midnight,foggy,Carjacking,9,0,6,25,32,85,4,9,8.99
Mumbai,Malad,Night,stormy,Burglary,4,1,7,55,32,279,9,4,8.4
Mumbai,Thane,Midnight,rainy,Pickpocketing,4,1,7,13,23,84,8,3,7.66
Chennai,Porur,Evening,sunny,Eve Teasing,5,3,7,78,40,214,7,7,6.86
Mumbai,Kurla,Afternoon,sunny,Pickpocketing,6,3,3,14,19,132,7,2,4.13
Mumbai,Kurla,Night,stormy,Vandalism,3,1,1,56,25,246,2,1,5.71
Hyderabad,Jubilee Hills,Afternoon,sunny,Pickpocketing,6,4,6,49,43,140,8,3,4.66
Chennai,Mylapore,Afternoon,foggy,Chain Snatching,4,2,3,56,18,75,8,2,5.3
Hyderabad,Madhapur,Afternoon,rainy,Chain Snatching,5,3,3,34,40,97,9,6,6.09
Ahmedabad,Nikol,Evening,sunny,Eve Teasing,3,3,3,68,24,54,6,3,6.12
Pune,Chinchwad,Morning,sunny,Pickpocketing,7,0,9,6,18,258,5,9,7.65
Ahmedabad,Satellite,Night,cloudy,Robbery,8,0,4,53,37,21,8,8,8.47
Pune,Pimpri,Morning,cloudy,Robbery,1,1,5,49,17,34,5,4,6.52
Hyderabad,Banjara Hills,Morning,cloudy,Cyber Crime,3,0,3,21,39,27,2,2,3.87
Ahmedabad,Satellite,Morning,rainy,Assault,7,0,1,32,30,169,5,1,5.1
Chennai,Anna Nagar,Afternoon,foggy,Carjacking,7,2,4,49,35,139,1,5,5.77
Delhi,Saket,Midnight,foggy,Eve Teasing,8,4,1,21,25,128,1,5,5.29
Hyderabad,LB Nagar,Afternoon,foggy,Pickpocketing,2,1,7,63,23,99,6,0,4.67
Pune,Hadapsar,Afternoon,rainy,Eve Teasing,0,2,7,18,15,246,7,6,8.44
Kolkata,Ultadanga,Morning,rainy,Burglary,8,1,4,14,24,22,6,4,6.22
Pune,Shivajinagar,Afternoon,cloudy,Theft,0,4,5,22,26,283,4,6,6.39
Kolkata,Behala,Morning,sunny,Cyber Crime,2,1,7,39,44,112,3,3,4.63
Mumbai,Kurla,Midnight,stormy,Fraud,2,0,6,52,38,196,7,4,8.14
Ahmedabad,Naranpura,Night,stormy,Burglary,8,4,4,62,16,163,8,6,7.76
Kolkata,Barasat,Morning,sunny,Cyber Crime,0,2,4,22,29,55,6,5,4.15
Pune,Wakad,Midnight,cloudy,Burglary,6,2,2,56,44,9,0,0,5.66
Mumbai,Kurla,Night,sunny,Pickpocketing,1,3,2,34,38,132,3,0,3.18
Delhi,Karol Bagh,Evening,sunny,Theft,6,2,4,41,34,151,3,1,4.9
Chennai,Nungambakkam,Morning,stormy,Mobile Theft,0,3,5,44,30,190,9,2,5.53
Chennai,Adyar,Morning,cloudy,Robbery,9,0,4,10,16,283,2,0,5.24
Chennai,Velachery,Evening,rainy,Robbery,9,2,3,39,27,276,3,9,7.32
Kolkata,Gariahat,Evening,stormy,Burglary,7,4,2,30,32,242,8,1,5.28
Delhi,Nehru Place,Morning,rainy,Mobile Theft,9,3,4,34,43,275,0,1,2.47
Kolkata,Barasat,Evening,cloudy,Carjacking,9,2,5,79,36,189,1,6,5.96
Ahmedabad,Nikol,Afternoon,sunny,Robbery,1,0,1,28,33,114,6,5,6.98
Kolkata,Dum Dum,Night,foggy,Vandalism,2,4,1,59,25,295,8,8,6.82
Delhi,Janakpuri,Night,foggy,Burglary,7,4,6,13,28,233,6,9,8.36
Delhi,Nehru Place,Night,cloudy,Fraud,2,0,5,66,44,80,0,4,6.01
Ahmedabad,Navrangpura,Afternoon,foggy,Theft,0,2,4,22,40,192,6,2,4.89
Delhi,Saket,Evening,rainy,Assault,8,1,1,55,17,257,5,0,5.41
Pune,Viman Nagar,Midnight,foggy,Chain Snatching,7,2,7,23,23,230,0,0,6.45
Delhi,Saket,Evening,cloudy,Eve Teasing,3,3,4,73,19,13,0,1,4.4
Chennai,Anna Nagar,Morning,cloudy,Burglary,7,3,3,37,28,13,1,2,3.16
Pune,Aundh,Night,rainy,Robbery,4,2,7,42,21,43,5,9,9.68
Pune,Shivajinagar,Evening,foggy,Eve Teasing,2,3,2,17,26,209,3,9,8.12
Ahmedabad,Ghatlodia,Midnight,foggy,Fraud,0,1,1,53,35,39,3,4,5.72
Bangalore,Indiranagar,Morning,sunny,Mobile Theft,9,1,4,77,32,33,5,6,4.89
Bangalore,Jayanagar,Afternoon,stormy,Pickpocketing,4,4,8,57,25,234,8,3,6.17
Delhi,Vasant Kunj,Afternoon,cloudy,Chain Snatching,5,3,6,5,41,233,0,9,7.35
Pune,Pimpri,Midnight,sunny,Carjacking,3,2,9,16,38,273,1,5,8.57
Bangalore,Marathahalli,Morning,cloudy,Cyber Crime,6,4,1,28,23,289,7,5,3.62
Bangalore,Yeshwanthpur,Night,sunny,Mobile Theft,2,1,1,5,25,228,7,1,6.08
Delhi,Dwarka,Evening,stormy,Assault,6,4,5,72,32,127,5,5,6.95
Bangalore,Koramangala,Morning,sunny,Pickpocketing,0,0,6,11,16,208,5,4,6.46
Kolkata,Salt Lake,Afternoon,cloudy,Fraud,6,3,8,73,34,79,7,5,5.43
Mumbai,Andheri,Midnight,foggy,Robbery,0,2,3,43,27,294,1,3,7.59
Ahmedabad,Nikol,Midnight,cloudy,Mobile Theft,0,1,6,36,29,175,1,0,6.77
Mumbai,Malad,Evening,rainy,Vandalism,1,4,3,53,22,232,0,8,6.43
Delhi,Nehru Place,Midnight,rainy,Theft,1,2,8,35,19,264,5,2,7.7
Chennai,Porur,Midnight,rainy,Pickpocketing,3,3,4,7,19,284,5,0,5.92
Ahmedabad,Satellite,Morning,rainy,Pickpocketing,0,2,2,51,21,117,5,3,4.66
Delhi,Saket,Night,stormy,Assault,3,3,9,19,26,165,1,6,9.1
Pune,Pimpri,Evening,foggy,Theft,1,3,8,55,34,141,6,3,6.13
Chennai,Adyar,Morning,foggy,Fraud,3,3,6,78,26,246,2,3,5.06
Mumbai,Malad,Night,cloudy,Eve Teasing,3,4,3,25,23,176,0,8,6.68
Delhi,Karol Bagh,Morning,sunny,Eve Teasing,8,3,2,45,18,298,0,5,4.72
Pune,Shivajinagar,Morning,cloudy,Theft,8,2,4,7,22,263,8,8,6.71
Ahmedabad,Satellite,Midnight,cloudy,Mobile Theft,0,0,4,5,33,167,2,1,7.29
Ahmedabad,Bopal,Night,cloudy,Carjacking,4,2,1,25,36,24,7,6,6.93
Hyderabad,Miyapur,Evening,cloudy,Burglary,6,4,9,79,15,190,9,6,7.28
Pune,Pimpri,Evening,foggy,Carjacking,3,3,8,25,37,14,6,7,7.57
Kolkata,Gariahat,Night,sunny,Carjacking,4,0,7,79,25,15,1,9,9.05
Bangalore,Hebbal,Midnight,cloudy,Pickpocketing,1,4,6,53,37,126,1,8,8.07
Chennai,Velachery,Afternoon,foggy,Pickpocketing,2,1,3,69,27,266,3,7,6.57
Pune,Wakad,Morning,cloudy,Chain Snatching,6,1,4,45,32,27,1,1,3.97
Hyderabad,Miyapur,Midnight,rainy,Mobile Theft,9,1,2,71,35,262,4,2,5.69
Bangalore,HSR Layout,Night,cloudy,Robbery,6,0,7,46,34,293,9,1,8.73
Bangalore,Rajajinagar,Morning,cloudy,Cyber Crime,3,2,2,73,24,151,6,0,3.6
Delhi,Nehru Place,Evening,stormy,Cyber Crime,0,0,1,61,27,67,1,6,5.61
Bangalore,Rajajinagar,Afternoon,rainy,Cyber Crime,0,0,6,47,39,36,8,7,6.42
Kolkata,New Town,Evening,sunny,Fraud,3,0,4,16,26,34,0,4,4.78
Ahmedabad,Isanpur,Night,cloudy,Fraud,3,1,8,68,27,133,1,9,7.4
Hyderabad,Banjara Hills,Morning,sunny,Mobile Theft,5,2,1,55,16,160,6,8,4.74
Bangalore,Hebbal,Night,rainy,Chain Snatching,6,0,9,77,17,223,4,3,7.39
Delhi,Karol Bagh,Morning,cloudy,Cyber Crime,8,2,6,64,43,109,0,0,3.37
Kolkata,Ultadanga,Midnight,stormy,Pickpocketing,8,3,2,75,31,101,3,3,5.74
Mumbai,Mulund,Afternoon,foggy,Assault,9,0,8,32,40,181,7,4,7.51
Ahmedabad,Isanpur,Midnight,stormy,Cyber Crime,4,0,5,75,35,146,4,7,8.16
Ahmedabad,Nikol,Midnight,stormy,Cyber Crime,9,0,5,18,33,215,1,4,6.76
Hyderabad,Dilsukhnagar,Night,foggy,Assault,2,3,5,36,26,138,8,9,9.57
Ahmedabad,Naranpura,Afternoon,foggy,Robbery,2,3,7,12,30,187,0,8,8.1
Bangalore,Marathahalli,Morning,foggy,Theft,5,1,7,31,34,87,0,5,5.99
Delhi,Janakpuri,Morning,cloudy,Pickpocketing,0,4,7,54,34,246,9,7,6.12
Ahmedabad,Bopal,Evening,sunny,Eve Teasing,6,2,2,63,36,185,4,2,5.59
Ahmedabad,Naranpura,Morning,sunny,Eve Teasing,2,4,8,61,24,87,8,2,5.11
Mumbai,Goregaon,Night,foggy,Mobile Theft,4,0,1,7,37,151,5,8,7.4
Mumbai,Andheri,Midnight,stormy,Pickpocketing,6,0,2,31,37,266,4,5,7.45
Chennai,Velachery,Midnight,rainy,Vandalism,6,1,7,38,29,199,5,3,7.38
Kolkata,Gariahat,Midnight,foggy,Theft,8,4,4,30,44,245,5,7,8.05
Bangalore,HSR Layout,Afternoon,stormy,Eve Teasing,0,0,9,44,41,215,8,3,8.56
Ahmedabad,Bopal,Morning,stormy,Burglary,2,4,9,36,22,73,8,3,6.09
Pune,Hadapsar,Night,cloudy,Cyber Crime,8,1,3,45,33,159,4,6,6.55
Ahmedabad,Vastrapur,Afternoon,cloudy,Carjacking,7,4,3,6,19,254,3,6,6.23
Delhi,Janakpuri,Evening,sunny,Pickpocketing,1,2,9,76,26,16,0,7,5.57
Chennai,Guindy,Night,sunny,Vandalism,7,1,8,11,24,137,5,9,7.72
Kolkata,Gariahat,Night,rainy,Burglary,7,4,1,23,36,5,6,6,5.9
Pune,Viman Nagar,Night,rainy,Cyber Crime,1,0,6,37,28,218,6,7,8.21
Chennai,Nungambakkam,Midnight,rainy,Carjacking,7,3,7,6,42,0,0,7,8.69
Hyderabad,Abids,Night,rainy,Carjacking,2,3,8,71,36,63,5,6,7.95
Kolkata,Gariahat,Morning,stormy,Robbery,6,1,2,19,26,208,7,0,6.36
Ahmedabad,Nikol,Night,stormy,Mobile Theft,8,3,1,25,38,0,2,3,5.27
Ahmedabad,Chandkheda,Midnight,sunny,Cyber Crime,3,2,4,63,27,188,0,2,5.15
Kolkata,Park Street,Night,cloudy,Theft,5,1,1,43,35,246,6,8,7.16
Ahmedabad,Navrangpura,Evening,cloudy,Pickpocketing,8,0,2,24,35,256,3,9,6.74
Bangalore,Marathahalli,Evening,foggy,Vandalism,4,0,3,5,31,173,4,7,7.63
Kolkata,Salt Lake,Midnight,stormy,Chain Snatching,0,1,4,77,15,108,1,8,8.16
Chennai,Guindy,Morning,rainy,Robbery,2,3,6,13,36,59,6,4,6.5
Kolkata,Park Street,Morning,rainy,Assault,8,3,8,55,24,42,0,4,5.72
Pune,Kothrud,Afternoon,foggy,Burglary,2,0,9,42,40,37,3,9,8.17
Ahmedabad,Nikol,Midnight,cloudy,Chain Snatching,9,2,4,19,19,257,7,4,7.48
Bangalore,Marathahalli,Night,rainy,Burglary,1,3,1,45,25,81,6,1,5.22
Bangalore,Rajajinagar,Midnight,cloudy,Pickpocketing,3,2,5,51,24,220,6,6,7.39
Hyderabad,Jubilee Hills,Afternoon,foggy,Vandalism,4,3,5,30,20,110,6,7,5.75
Chennai,Anna Nagar,Midnight,cloudy,Vandalism,6,1,9,58,29,264,4,4,7.52
Mumbai,Mulund,Midnight,cloudy,Carjacking,6,4,6,74,23,135,9,7,8.18
Mumbai,Borivali,Afternoon,cloudy,Chain Snatching,8,0,5,43,22,22,2,5,5.73
Kolkata,Behala,Morning,rainy,Vandalism,7,1,5,21,37,58,9,3,4.81
Hyderabad,Mehdipatnam,Night,sunny,Eve Teasing,1,3,8,74,37,265,6,6,8.62
Delhi,Janakpuri,Afternoon,stormy,Burglary,7,0,1,13,20,139,7,7,7.13
Kolkata,Ultadanga,Evening,cloudy,Carjacking,7,4,5,50,20,115,6,8,6.66
Hyderabad,Madhapur,Morning,cloudy,Cyber Crime,4,4,1,10,31,203,5,4,3.96
Chennai,Mylapore,Evening,cloudy,Pickpocketing,2,3,7,72,26,157,8,8,7.0
Chennai,Velachery,Morning,sunny,Vandalism,8,0,7,20,21,195,5,7,6.03
Chennai,Anna Nagar,Night,foggy,Mobile Theft,6,3,8,33,19,211,4,0,6.66
Chennai,Adyar,Night,rainy,Fraud,0,4,7,45,30,40,5,7,7.51
Chennai,T.Nagar,Midnight,sunny,Cyber Crime,7,1,9,72,37,6,9,7,7.95
Hyderabad,Banjara Hills,Evening,cloudy,Pickpocketing,9,1,8,66,20,104,3,6,5.17
Hyderabad,LB Nagar,Morning,sunny,Cyber Crime,4,2,8,44,22,44,5,0,3.23
Bangalore,Hebbal,Night,sunny,Chain Snatching,5,4,3,66,17,37,3,5,6.14
Pune,Hadapsar,Afternoon,sunny,Eve Teasing,8,4,4,28,22,163,4,1,4.21
Mumbai,Mulund,Night,foggy,Theft,9,3,4,10,43,80,5,5,6.3
Ahmedabad,Satellite,Afternoon,stormy,Assault,7,2,1,44,21,57,0,1,3.81
Chennai,Adyar,Morning,rainy,Cyber Crime,2,2,6,74,31,122,5,1,4.17
Delhi,Connaught Place,Night,foggy,Fraud,4,0,2,62,33,194,5,6,6.84
Ahmedabad,Nikol,Night,foggy,Carjacking,3,3,9,18,40,192,0,9,9.39
Hyderabad,Jubilee Hills,Morning,stormy,Burglary,0,1,1,49,34,103,6,0,4.56
Delhi,Janakpuri,Night,foggy,Chain Snatching,4,0,1,10,28,111,9,4,8.05
Delhi,Vasant Kunj,Afternoon,sunny,Chain Snatching,9,2,6,27,39,131,4,0,3.74
Delhi,Saket,Night,sunny,Mobile Theft,6,1,1,66,42,95,7,8,6.99
Bangalore,Indiranagar,Evening,cloudy,Theft,0,4,3,21,20,82,4,4,5.18
Hyderabad,Jubilee Hills,Midnight,foggy,Fraud,3,3,2,74,21,169,9,4,6.85
Delhi,Vasant Kunj,Afternoon,cloudy,Burglary,5,2,9,32,44,48,4,3,5.91
Chennai,Mylapore,Evening,rainy,Assault,8,4,5,17,19,134,1,2,6.17
Kolkata,Barasat,Morning,sunny,Robbery,7,2,6,33,33,264,3,7,6.3
Delhi,Vasant Kunj,Afternoon,rainy,Robbery,1,1,2,49,35,198,3,6,7.02
Bangalore,Jayanagar,Midnight,stormy,Chain Snatching,2,0,8,24,42,282,9,8,10.0
Ahmedabad,Vastrapur,Midnight,sunny,Cyber Crime,9,1,6,62,21,34,9,5,6.57
Hyderabad,Jubilee Hills,Morning,rainy,Cyber Crime,4,3,8,58,23,203,7,0,3.8
Pune,Chinchwad,Morning,stormy,Fraud,6,3,8,68,26,240,2,4,5.04
Bangalore,Koramangala,Afternoon,rainy,Theft,2,2,1,56,39,42,0,4,3.63
Delhi,Nehru Place,Night,stormy,Chain Snatching,6,1,7,47,29,263,6,6,8.96
Hyderabad,Madhapur,Morning,stormy,Robbery,4,0,2,22,29,77,8,9,8.04
Kolkata,New Town,Night,sunny,Chain Snatching,9,3,8,58,42,35,5,0,4.17
Delhi,Nehru Place,Evening,cloudy,Robbery,5,0,2,64,38,173,1,0,5.13
Bangalore,HSR Layout,Midnight,stormy,Fraud,5,4,4,75,35,134,1,5,5.78
Mumbai,Bandra,Night,stormy,Fraud,3,2,2,5,30,139,0,5,6.36
Chennai,Guindy,Midnight,sunny,Theft,7,0,7,41,37,54,5,8,8.2
Pune,Koregaon Park,Night,cloudy,Carjacking,8,2,5,53,34,251,7,2,7.15
Ahmedabad,Navrangpura,Evening,foggy,Carjacking,1,4,9,39,40,278,0,4,7.37
Bangalore,Jayanagar,Morning,foggy,Chain Snatching,8,0,5,71,29,179,0,4,5.72
Hyderabad,LB Nagar,Evening,cloudy,Mobile Theft,3,0,8,39,19,12,0,0,4.96
Pune,Pimpri,Morning,rainy,Chain Snatching,5,4,2,13,26,203,9,5,6.23
Pune,Shivajinagar,Morning,sunny,Chain Snatching,6,1,3,41,18,62,4,3,4.39
Pune,Kothrud,Midnight,cloudy,Theft,3,0,6,64,17,73,6,5,7.64
Delhi,Janakpuri,Evening,foggy,Mobile Theft,7,0,7,60,43,154,3,7,7.83
Chennai,Anna Nagar,Night,stormy,Pickpocketing,9,3,8,16,41,6,0,7,6.11
Delhi,Vasant Kunj,Evening,foggy,Chain Snatching,7,1,3,75,43,152,0,2,4.63
Hyderabad,Abids,Midnight,stormy,Carjacking,0,0,7,75,15,43,9,8,10.0
Delhi,Lajpat Nagar,Morning,sunny,Carjacking,7,4,8,8,27,35,2,3,4.83
Mumbai,Goregaon,Midnight,stormy,Mobile Theft,9,2,6,65,19,96,4,0,5.61
Chennai,Velachery,Afternoon,cloudy,Burglary,2,4,4,49,26,164,4,8,6.67
Chennai,Adyar,Afternoon,stormy,Cyber Crime,4,1,6,54,16,233,8,4,7.33
Hyderabad,Banjara Hills,Night,rainy,Fraud,9,3,9,54,20,102,8,7,7.43
Ahmedabad,Ghatlodia,Midnight,cloudy,Mobile Theft,7,3,3,78,19,6,8,6,6.91
Mumbai,Kurla,Night,sunny,Pickpocketing,5,3,2,52,41,93,7,4,5.42
Bangalore,Koramangala,Night,cloudy,Robbery,3,4,5,27,32,120,8,7,7.84
Delhi,Nehru Place,Afternoon,rainy,Carjacking,3,2,7,12,38,36,7,0,6.05
Kolkata,Barasat,Night,sunny,Assault,3,2,3,33,19,20,7,3,7.43
Delhi,Pitampura,Afternoon,foggy,Assault,5,0,5,47,32,97,7,4,7.3
Pune,Aundh,Morning,rainy,Carjacking,6,2,4,57,30,20,7,3,5.72
Delhi,Lajpat Nagar,Midnight,sunny,Cyber Crime,4,2,7,10,31,231,4,5,8.06
Bangalore,Marathahalli,Night,stormy,Assault,9,0,2,28,16,71,9,8,8.72
Delhi,Janakpuri,Afternoon,cloudy,Vandalism,7,4,7,78,31,51,2,0,2.68
Mumbai,Malad,Evening,sunny,Pickpocketing,6,4,2,18,24,221,3,9,5.87
Mumbai,Borivali,Night,cloudy,Fraud,7,1,3,56,40,284,8,1,5.99
